Description,is_sif,source,Industry Sector,Employee or Third Party,iogp_rule
"At 3:10 p.m. on October 26, 2017, a housekeeping attendant sustained a small paper cut while sorting shift handover documents. First aid was applied and the employee resumed duties immediately.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"In Level 2900 - OP 5 the worker performed the chuteo ore from the hopper to the second car, perceived a slip of water and mud through the hopper, decided to leave the platform and when he was already down the second rung of the ladder of access, the water increases and a fragment of rock slides and hits the back of the worker causing it to fall and hit the right forearm and left knee.",1,IHM_Stefanini,Others,Employee,Line of Fire
An employee was painting a wall from a ladder. The employee fell to the floor and suffered a separated wrist and three broken fingers in his left hand.,1,OSHA_SIR,Others,Employee,Uncategorized
"At 5:05 p.m. on July 8, 2017, a storekeeper had a plastic hand tool fall from a bench onto their boot from a height of about 30 centimetres. Safety footwear prevented any injury. The bench edge guard was refitted. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 1:20 p.m. on March 26, 2017, an employee felt mild discomfort in the lower back after repeatedly bending to pick up small fittings from a low shelf. The employee rested briefly, reported the ergonomic concern, and resumed light duties. No medical treatment beyond first aid was required.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At approximately 10:15 a.m. on February 19, 2017, an employee was walking on ice to the edge of open water during an ice water training class. The employee fell into the open water when the ice gave way, fracturing her right ankle. The employee was not hospitalized.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 11:50 a.m. on October 26, 2016, a warehouse associate was descending the last two steps of a three-step stepladder when a foot slipped off the tread. The employee landed upright on the floor from a height of under half a metre and was uninjured.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 4:35 p.m. on September 17, 2017, a maintenance technician bumped their head lightly against a low-hanging cable tray while walking through the plant room. The employee was wearing a hard hat and was uninjured. The tray was marked with hazard tape.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"Upon approaching the furnace that was in the process of melting the Zn ingot, it was struck by liquid metal projection.",1,IHM_Stefanini,Others,Employee,Hazardous Materials
"While maintaining the ramp 604, when placing the first cloth for the overlap with the previous mesh; the operator will check the work front, then return to the back of the team to coordinate with his assistant, at which time a fragment of rock (Weight: 0.42 kg) of the non-sustained area will be detached, which impacts on the arm of the team and reaching by bounce the collaborator causing the injury. The one involved made use of all their EPPs. At the time of the incident the assistant was in the back of the team preparing the support mesh.",1,IHM_Stefanini,Others,Employee,Uncategorized
"At 11:50 a.m. on September 3, 2017, an office assistant was struck against the edge of an open drawer while turning around at the workstation. A small bruise formed on the thigh. First aid was applied and no further treatment was needed. The employee continued their assigned duties without restriction.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"An employee was climbing a wood power line pole. The pole failed below ground level and fell on him, breaking his pelvis.",1,OSHA_SIR,Others,Employee,Uncategorized
"At 2:45 p.m. on June 26, 2016, an employee noticed that a fluorescent light fitting in the corridor was flickering intermittently. The observation was logged and maintenance replaced the tube the same day. No injury occurred. The employee continued their assigned duties without restriction.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 3:10 p.m. on December 17, 2017, a warehouse associate got a small amount of dust in the right eye while sweeping the workshop floor. The eye was rinsed at the eyewash station and mild irritation resolved within the hour. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"On March 23, 2016, an employee operating a Harris Model TG-2229 scrap metal baler, pushed the button at the control panel to run a cycle and noticed a piece of scrap metal was stuck in front of a magnetic limit switch that was located underneath the hopper. The limit switch detects when the hopper was up or down.  The employee accessed the magnetic limit switch by climbing over the guardrail and walking along the beam directly under the hopper while the baler was still running.  The employee was crushed between the hopper and the beam when the piece of scrap metal was removed and the hopper came down on top of him.  The employee was killed from the accident. killed from the accident.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"While getting out of a tugger, a maintenance employee tripped over something, fell, and could not stand up. He broke his right femur just below the hip on his right side and was hospitalized.",1,OSHA_SIR,Others,Employee,Uncategorized
"At approximately 2:00 p.m. on September 6, 2016, an employee was operating a machine manufactured by Peddinghaus, Model Number PCD1100. After hollowing for help, the employee was found crushed between a material handling conveyor and a 30-ft. long 16-in. high steel I-beam and 6-in. wide. The employee received extensive blunt force trauma to the lower back and was killed.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 5:05 p.m. on February 17, 2016, a maintenance technician caught a glove on a cabinet latch while closing a de-energised control panel door. The glove was snagged but the hand was uninjured. The latch was filed smooth. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 3:10 p.m. on July 21, 2017, a maintenance technician noticed a small oil seep beneath a stationary pump during a routine walk-round. A drip tray was placed and maintenance scheduled the repair. No spill reached the drain and no one was exposed. No medical treatment beyond first aid was required.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 8:40 a.m. on March 21, 2017, Employee #1 was struck on the forearm by a lightweight empty cardboard box that shifted from a shelf at waist height. No injury was sustained. The shelf stacking arrangement was corrected. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 10:30 a.m. on July 26, 2017, a housekeeping attendant found an empty cable reel left in a walkway during a routine housekeeping round. The reel was removed to the storage yard. No one was injured. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 1:20 p.m. on January 17, 2016, a housekeeping attendant had a shirt cuff briefly catch on the handle of a stationary hand trolley. The trolley was not in motion and no injury occurred. The handle was taped. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 4:35 p.m. on August 26, 2017, a warehouse associate pinched a finger between two stacked plastic pallets while manually separating them. A minor pinch mark was noted with no break in the skin. The employee continued working. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"On March 24, 2022, an employee was operating a powered saw. The employee's left thumb was pinched in a vise clamp that held the stock in place to be cut. The thumb tip was amputated.",1,OSHA_SIR,Others,Employee,Uncategorized
"An employee was operating the extruder for polystyrene rolls when a roll snapped. He was feeding the sheet through the rubber rollers that control the tension on the roll when the rolls grabbed his fingers, injuring his right middle and ring fingertips.",1,OSHA_SIR,Others,Employee,Uncategorized
"An employee was using a chainsaw to prune a coconut palm. The chainsaw kicked back and struck the employee's left wrist, resulting in lacerations that required surgery to repair a tendon.",1,OSHA_SIR,Others,Employee,Uncategorized
"At 11:50 a.m. on August 26, 2017, a maintenance technician felt mild discomfort in the lower back after repeatedly bending to pick up small fittings from a low shelf. The employee rested briefly, reported the ergonomic concern, and resumed light duties. No medical treatment beyond first aid was required.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 10:00 a.m. on April 24, 2017, an employee fell from elevation and was killed. No other details were provided from the accident.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 7:15 a.m. on April 8, 2017, a warehouse associate noticed that a fluorescent light fitting in the corridor was flickering intermittently. The observation was logged and maintenance replaced the tube the same day. No injury occurred. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"The worker Manuel was making the disconnection of the power cables of the gate that is at the intersection of Manco streets with Cajamarquilla in order to remove it. In circumstances that Mr. José worker of the company ITS, was removing the rope tied in the body of the gate, this yields and falls pulling the warning post which hits the helmet of Mr. who He was standing at his side.",0,IHM_Stefanini,Others,Employee,Uncategorized
"At 1:20 p.m. on February 17, 2017, a contractor's helper grazed a knuckle against a rough edge while removing a hand-tightened cover plate. A minor abrasion was dressed on site and the edge was deburred. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 10:30 a.m. on November 3, 2017, an office assistant sustained a small paper cut while sorting shift handover documents. First aid was applied and the employee resumed duties immediately. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"An employee slipped in liquid and fell down the stairs. He sustained injuries to the left side of his body, including internal injury.",1,OSHA_SIR,Others,Employee,Uncategorized
"An employee used a step ladder to enter the ceiling of a building and then fell through the ceiling, striking his head on the floor below. He was hospitalized.",1,OSHA_SIR,Others,Employee,Uncategorized
"An employee was hooking up a sling for an excavator to move a piece of concrete pipe when the excavator operator pulled up on the sling, crushing the employee's left hand between the pipe and teacup.",1,OSHA_SIR,Others,Employee,Uncategorized
"At approximately 2:30 p.m. on January 31, 2017, an employee was working in a security guard shack. He suffered a heart attack and died.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 12:30 p.m. on October 29, 2015, an employee was delivering road debris from road construction project to private residence for land fill material. No witnesses observed the accident, but it appears that the employee was raising the bed of dump truck and snagged an overhead power line.  The driver apparently put the lift mechanism back into neutral hold, and exited the cab then attempted to re-enter to retrieve the fire extinguisher since his front left tire was smoldering on fire. The overhead power line came into contact to with metal bed of dump truck sending uncontrolled electricity into frame of vehicle causing a fire. When employee tried to extinguish the fire or re-enter cab to lower bed he came into contact with truck metal and had his foot on the ground. The electrical shock entry appears to be on his hand and exited through his foot/boot or vice versa.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 5:05 p.m. on April 8, 2017, an office assistant tripped over a trailing extension cable at floor level and stumbled but did not fall. No injury occurred. The cable was rerouted and secured with a floor cover. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"The Employee performed the activity of stripping cathodes, when pulling the cathode sheet his hand hit the side of another cathode, causing a blunt cut on his 2nd finger of the left hand.",0,IHM_Stefanini,Others,Employee,Line of Fire
"At 9:00 a.m. on November 10, 2015, a worker was empting trash cans into the rear of a garbage truck when a motor vehicle struck him from behind. He was killed. The worker suffered blunt force trauma injuries to his hip and ribs.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At approximately 10:30 a.m. on February 22, 2016, Employee #1 was attending a meeting and suffered symptoms of a heart attack. Employee #1 was hospitalized and died.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 2:45 p.m. on December 17, 2017, an employee reported that a fire extinguisher inspection tag was overdue by three days. The extinguisher was inspected and re-tagged. It remained fully charged throughout.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At approximately 8:11 a.m. on December 9, 2016, an employee and a coworker were moving plants into a greenhouse to protect the plants from the weather. The employees were loading the plants into a bucket attached to a bobcat and transporting the plants to the greenhouse. The bobcat backed over the employee. The employee was killed.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
An employee was welding cross-members under the truck body when it flipped over and pinned him on his sliding cart. The employee fractured his pelvis and sustained third-degree burns to his right calf.,1,OSHA_SIR,Others,Employee,Uncategorized
"At 6:40 a.m. on May 13, 2016, an employee was operating a JLG aerial lift in order to unload it. The employee was pinned in between the railing platform (of the aerial lift) and an overhead ledge (beam).  The employee was killed.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"An employee was helping to position a barrier when both of his feet were struck by a concrete barrier, amputating three digits on his left foot and two digits on his right foot.",1,OSHA_SIR,Others,Employee,Uncategorized
"At 5:45 p.m. on May 3, 2016, Employees #1 and #2 were tapping sewer lines and the trench collapsed and killed both employees.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 10:30 a.m. on March 26, 2017, a workshop helper had a plastic hand tool fall from a bench onto their boot from a height of about 30 centimetres. Safety footwear prevented any injury. The bench edge guard was refitted. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 11:00 a.m., Mr. Frank with the support of another mechanic, was preparing to place on the floor a metal part called the rear bridge of the forklift. At that moment the part moving part moves generating a blow to the middle finger of the left hand",1,IHM_Stefanini,Others,Employee,Line of Fire
"At 3:10 p.m. on March 8, 2016, a storekeeper slipped on a small patch of spilled water in the corridor and briefly lost balance before steadying against the wall. The employee was uninjured and continued working. The spill was mopped immediately. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 1:05 p.m. on August 13, 2015, a maintenance employee was clearing a jam on a dryer door while standing on an elevated conveyor. The elevated conveyor was approximately eight feet above the floor. After clearing the jam, the computer-operated dryer system activated the conveyor that the employee was standing on. The conveyor, which serves two different dryers on opposite ends, propelled the employee into rotating Dryer Number 11. The employee was found in the dryer a few minutes later. The employee was rescued from the dryer alive but had sustained multiple serious injuries. The employee died on August 27, 2015 from a head injury.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 2:45 p.m. on January 26, 2017, an operator stepped down from a low platform approximately 40 centimetres high and felt a slight jolt in the knee. No swelling or restriction was observed. The employee declined medical attention. No medical treatment beyond first aid was required.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 2:45 p.m. on April 25, 2017, an employee was installing a conveyor motor cover while the conveyor was not locked out.  The employee 's right hand was caught in by a chain and sprocket and crushed four fingers on the right hand.The employee had the first digit of the index finger amputated later at the hospital. The employee as hospitalized.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 3:00 p.m. on July 30, 2015, an employee was installing metal siding on a single family residential dwelling.  The employee fell from a scaffold which was 7 feet above the lower level and struck his head on the concrete slab, killing him.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 9:45 a.m. on March 16, 2017, an employee was guiding the forklift driver that was carrying a metal grate into the building.  The employee was struck by the 3 foot by 15 foot metal grate and fractured his lower left leg.  The employee was hospitalized and treated for his injuries.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 3:10 p.m. on July 3, 2017, a workshop helper observed that a machine guard interlock label had faded and was difficult to read. The label was replaced during the next planned shutdown. The machine was not in operation at the time. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 1:20 p.m. on October 12, 2016, a workshop helper noticed a small oil seep beneath a stationary pump during a routine walk-round. A drip tray was placed and maintenance scheduled the repair. No spill reached the drain and no one was exposed. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 1:20 p.m. on March 17, 2017, an employee noticed that a fluorescent light fitting in the corridor was flickering intermittently. The observation was logged and maintenance replaced the tube the same day. No injury occurred. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 4:35 p.m. on October 26, 2017, a storekeeper reported that a fire extinguisher inspection tag was overdue by three days. The extinguisher was inspected and re-tagged. It remained fully charged throughout. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At approximately 9:40 a.m. on September 1, 2015, an employee was found in the bottom of an excavation face down in the water. The preliminary finding by the Medical Examiners Office was that the cause of death is Asphyxia from drowning. The medical examiner stated in a phone conversation that employee had several factors that may have been associated with his drowning, but he could not directly tie any of these factors to the death. The medical examiner was sending out for a toxicology report, which would take 4-6 weeks. At time of the accident, the medical examiner could only state that the cause of death was drowning, and could not conclusively state that there was an underlying cause that led to the deceased falling into the water at the bottom of the excavation.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
An employee was turning on the injection pump at a work site when a pressurized release of water struck the employee causing a laceration to their abdomen and chest and an injury to the left arm.,1,OSHA_SIR,Others,Employee,Uncategorized
"At 11:50 a.m. on August 26, 2016, an office assistant got a small amount of dust in the right eye while sweeping the workshop floor. The eye was rinsed at the eyewash station and mild irritation resolved within the hour. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 7:15 a.m. on April 8, 2017, a maintenance technician slipped while stepping off a low kerb and twisted the left ankle slightly. An ice pack was applied at the first aid post. The employee walked unaided and returned to duty the same shift.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
Being approximately 14:25 h when supervising the line clamping of the POM D071 Roy Canario returning to the thickener D1304 hits his nose with the metal chute out of operation.,0,IHM_Stefanini,Others,Employee,Uncategorized
"An employee was descending the front stairs of a house after making a delivery when he tripped and impacted the stairs, suffering head trauma.",1,OSHA_SIR,Others,Employee,Uncategorized
"An employee was operating a meat tenderizer machine, feeding small pieces of beef into the machine from the top opening. The machine became jammed with product and the employee suffered a partial amputation of the right ring finger while trying to clear the jam.",1,OSHA_SIR,Others,Employee,Uncategorized
"At 9:05 a.m. on December 8, 2016, a contractor's helper received a shallow cut on the index finger while opening a carton with a safety knife. The cut did not require stitches. It was cleaned and dressed at the first aid post.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"An employee was installing a rubber band/gasket, on a battery-operated portable band saw, for the cutting blade to travel on, when his right index finger was caught by the rubber band/gasket, resulting in a fingertip amputation (no bone).",1,OSHA_SIR,Others,Employee,Uncategorized
"At 1:20 p.m. on October 21, 2017, a contractor's helper had a plastic hand tool fall from a bench onto their boot from a height of about 30 centimetres. Safety footwear prevented any injury. The bench edge guard was refitted. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 8:40 a.m. on March 8, 2016, a workshop helper experienced mild skin irritation on the wrist after wearing a damp glove for an extended period. The glove was replaced with a dry pair and the irritation subsided. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"An employee was throwing scrap glass into a dumpster. The glass hit the corner of the dumpster and bounced back, lacerating the employee's forearm.",1,OSHA_SIR,Others,Employee,Uncategorized
"At 5:05 p.m. on December 26, 2016, an employee sustained a small paper cut while sorting shift handover documents. First aid was applied and the employee resumed duties immediately. The employee continued their assigned duties without restriction.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"The mechanic assistant after throwing the wooden blocks of support of the stabilizer of the Hiab crane truck to the ground, when descending from the truck by the access ladder when arriving at the last step jumps towards the ground - height of 69cm - treading the edge of one of The wooden blocks cause an injury to the left ankle.",1,IHM_Stefanini,Others,Employee,Uncategorized
"At 1:20 p.m. on July 17, 2016, a storekeeper noticed a small oil seep beneath a stationary pump during a routine walk-round. A drip tray was placed and maintenance scheduled the repair. No spill reached the drain and no one was exposed. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"The employee had finished cleaning and sanitizing the icing machine and was moving the icing machine back into its operational position on a fry line. The employee lost balance and grabbed the machine to prevent falling. While attempting to gain balance, the employee suffered a partial amputation to the left middle finger pad.",1,OSHA_SIR,Others,Employee,Uncategorized
An employee was riding on a tug and suffered injuries to his neck and lower back when the tug went under a belt.,1,OSHA_SIR,Others,Employee,Uncategorized
The employee was moving a piece of equipment from a wooden pallet to a storage rack. The sphere tool (250-300 lb. steel pipe) slipped. The employee tried to catch it and got his finger caught between the sphere tool and the rack. The right ring finger was amputated.,1,OSHA_SIR,Others,Employee,Uncategorized
"When installing the ripper pin of the tractor D6T-N1, the ripper support arm slides by pressing the second and third fingers of the right hand against the base of the ripper causing the injury described.",0,IHM_Stefanini,Others,Employee,Uncategorized
"After completing the welding work on the backhoe bucket made for 4 hours, during which he used glass moon # 10, the welder feels a slight discomfort in the eyes, so he is transferred to the medical service for evaluation . During the accident the welder used facial mask for welding.",1,IHM_Stefanini,Others,Employee,Uncategorized
"While installing a segment of the polyurethane pulley protective lyner - 60x4x5cm weighing 1.2 kg - on the head pulley of the ore winch, when the pulley is rotated to compress the lyner inside the channel, it falls from its housing 1.50 m rubbing the right side of the worker's hip, generating the injury described.",0,IHM_Stefanini,Others,Employee,Uncategorized
"At 1:30 p.m. on October 12, 2015, an was employee operating a tractor to clear trees and tree limbs from a path/road. The employee was pushing limbs with the tractor, when another tree limb fell and struck the employee in the head. The employee was killed from blunt force trauma to the head.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"While clearing a buildup of rolls on a conveyor, an employee's right-hand ring finger was caught between the conveyor and a stationary object, amputating the first distal phalange.",1,OSHA_SIR,Others,Employee,Uncategorized
"At approximately 10:15 a.m. on February 13, 2017, Employee #1 was operating a brake press machine, when his finger was caught in the running machine. The machine amputated one of his fingers. Employee #1 was transported to a medical center, where he received treatment and was then hospitalized.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"In the probe 5068 bore BAPDD00146, around 15:00 hours, the polling assistant Luciano da Silva performing the maneuver of descending rods, led the rod to the gutter, but this when not leaning suitably came to escape the gutter returning toward the easel. His hand had slipped and his little finger was between the rod and the easel. Realizing that the shaft had returned, he released it. immediately, but his little finger was partially hit by the rim of the rod against the easel resulting in a cut. The auxiliary was taken to hospital and attended to, the wound resulted in 5 points and the was released for administrative activities.",0,IHM_Stefanini,Others,Employee,Uncategorized
"At 7:15 a.m. on October 21, 2017, a workshop helper was struck on the forearm by a lightweight empty cardboard box that shifted from a shelf at waist height. No injury was sustained. The shelf stacking arrangement was corrected. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 7:15 a.m. on June 8, 2016, an employee felt mild discomfort in the lower back after repeatedly bending to pick up small fittings from a low shelf. The employee rested briefly, reported the ergonomic concern, and resumed light duties. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"On February 2, 2017, Employee #1, employed by a landscape and septic company, and Coworker #1, his employer, were engaged in installing sewer lines. Employee #1 was positioned in a 2-foot trench and measuring the trench elevation.  His employer was operating a John Deer backhoe.  The backhoe's bucket struck an adjacent tree.  The tree, which was rotten, measured approximately 27 feet in height.  It was 18 feet away from Employee #1.  The tree fell and struck Employee #1 in the head.  Employee #1 was killed.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"The operator of the Scissor 187 leaves his equipment parked at level -2995 Acc 7 due to electrical problems, when the maintenance personnel arrives, the electrician climbs on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem; then in coordination with the mechanic decide to perform the test with the diesel system, moments in which accidentally activates with the body the arm movement lever causing the drill arm to move downwards generating the left hand's atricion against the support of the pivot tube generating the lesion described. At the time of the accident the electrician was alone on the control platform, while the mechanic was at ground level observing the pressure on the diesel system pressure gauge.",1,IHM_Stefanini,Others,Employee,Uncategorized
"At level 3390 access 2 area 2; the operator of the Scissor team No. 200 was preparing to present the second mesh to continue with the support of the work; When the operator pulls the support mesh to share its length equally on both sides of the equipment, it is at this moment that from the roof of the work a rock weighs approximately 400 Kg, which falls on the support mesh and slides towards the right side spoiler, as a result of this the mesh pushes the operator who is kneeling on the floor of the platform, which generates the lesion described. The rock falling does not directly impact the operator who was in a squatting position. The operator moves away from the area walking by his own means and is supported by the assistant.",1,IHM_Stefanini,Others,Employee,Uncategorized
An employee was using a pallet jack to move pallets when he lost his grip on the handle and fell to the floor. The employee sustained a fracture to his upper left arm.,1,OSHA_SIR,Others,Employee,Uncategorized
"At 5:05 p.m. on January 3, 2016, Employee #1 was struck against the edge of an open drawer while turning around at the workstation. A small bruise formed on the thigh. First aid was applied and no further treatment was needed. No medical treatment beyond first aid was required.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
An employee was shutting the dock door and her right foot became tangled in the rope used to close the door causing her to lose balance and fall to the floor. The employee sustained a fractured right tibia and fibula.,1,OSHA_SIR,Others,Employee,Uncategorized
"At 7:15 a.m. on June 26, 2016, a maintenance technician observed that a machine guard interlock label had faded and was difficult to read. The label was replaced during the next planned shutdown. The machine was not in operation at the time. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 9:05 a.m. on October 8, 2016, a housekeeping attendant tripped over a trailing extension cable at floor level and stumbled but did not fall. No injury occurred. The cable was rerouted and secured with a floor cover. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 9:30 p.m. on July 21, 2015, an employee, a construction worker, was doing some light demolition and clean-out of debris from a hospital worksite.  The employee collapsed at the end of a 7-hour work shift and was killed from heat-induced seizures. The ambient temperature on that day reached 91 degrees Fahrenheit.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At approximately 5:20 a.m. on January 4, 2017, Employee #1 was operating a pneumatic up-cutter to cut rounded edges off a 40-pound cheese salami and create blocks of cheese to be cubed on another machine.  The up-cutter consisted of a rectangular metal frame with plastic sheets attached to the sides and back of the frame.  The bottom was open underneath the ram and moveable base plate.  The top was open where the harp, knife assemble, was set.  The up-cutter was activated with two hand levers, one positioned on each side of the machine.  Above the hand levers is another lever on the left side that switches the up and down direction of the base.  When the pneumatic controls are activated, the base on the machine moves vertically, pushing the cheese through the blades.  Employee #1released the hand levers to remove the trim that had fallen from the base.  As he did that, the base continued to raise a half of an inch and pushed his fingers into the blades.  Employee #1 received an amputation to the tips of the right middle and ring fingers, just above the first knuckle, and was hospitalized.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 11:00 a.m. om February 1, 2017, an employee was walking towards the machine area to determine the cause of the machine shut down. The paper machine was dislodged by a thick paper stock and covered in about 18 inches of paper fiber. The employee's left foot/ankle fell through a dislodged drain cover (grate)  and his left foot slipped into the U-channel which was transporting boiling water/steam at about 250 degrees. The employee sustained second degree burns to foot and ankle on his left leg which required a skin graft.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"When the Master additive was taken from the AFO-755 license plate towards the launching team No. 26, the collaborator Bonifacio (robot assistant) at the moment he received the bucket emptiness of the operator Enoc feels that he drops a drop of additive in the right eye, feeling a burning sensation, so he immediately goes to wash the affected eye in the team's eyes, then the collaborator is evacuated to NATCLAR. At the time of the accident, the employee had glasses, but he was not using them correctly.",1,IHM_Stefanini,Others,Employee,Line of Fire
"At 4:35 p.m. on September 3, 2016, an office assistant experienced mild skin irritation on the wrist after wearing a damp glove for an extended period. The glove was replaced with a dry pair and the irritation subsided. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 1:00 p.m. on April 12, 2017, an employee was retrieving portions of ham from the backside of a Brio vertical bandsaw. As he was talking with a coworker and not looking where she was placing her hand, her right hand came into contact with the saw blade. Her right index and middle fingers were amputated at their tips, which she was hospitalized and received treatment.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 2:00 p.m. on November 11, 2015, Employee #1 and a co-worker were performing flag duties at a road construction site. As the co-worker stopped the traffic in the west bound lanes, a commercial garbage truck failed to stop, smashing into the rear end of several vehicles and then swerving out of control. Employee #1, who was signaling the east bound traffic, was struck and killed by the garbage truck.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 9:05 a.m. on February 21, 2016, a workshop helper experienced mild skin irritation on the wrist after wearing a damp glove for an extended period. The glove was replaced with a dry pair and the irritation subsided. No medical treatment beyond first aid was required.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 4:35 p.m. on June 12, 2016, an operator observed that a machine guard interlock label had faded and was difficult to read. The label was replaced during the next planned shutdown. The machine was not in operation at the time. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 1:00 p.m. on August 15, 2016, an employee was preparing to install the Sweep Augers on a corn silo.  The employee stepped onto a 9-inch running floor auger and it scraped the bottom of his foot, amputating some skin. The employee suffered a pulmonary embolism and died.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"Auxiliary and Geologist traveled to the field to evaluate geological points following the GPS near some drainage. Following the state highway that gives access to Aripuanã area, stopped and got out of the vehicle to see the point identified in the GPS, Ademir, distancing himself about five meters from the vehicle, accompanied by the geologist Mario, was surprised by two bites of blows on his neck. Quickly he hurried back to the vehicle, moving away from the place. The clerk was wearing a girdle and goggles, he still was not wearing gloves, as he would not enter the forest area. There was no allergic reaction.",0,IHM_Stefanini,Others,Employee,Uncategorized
"At 3:10 p.m. on October 26, 2016, a contractor's helper noticed a small oil seep beneath a stationary pump during a routine walk-round. A drip tray was placed and maintenance scheduled the repair. No spill reached the drain and no one was exposed.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
